R261:3233342.353887,0.032697,3233342.880428,3233342.913125
R262:3233342.628549,0.074129,3233342.913132,3233342.987261
R263:3233342.835948,0.118692,3233342.987267,3233343.105959
R264:3233342.937502,0.132026,3233343.105965,3233343.237990
R265:3233343.086862,0.077275,3233343.237996,3233343.315271
R266:3233343.117355,0.015222,3233343.315278,3233343.330501
R267:3233343.180955,0.166926,3233343.330531,3233343.497458
R268:3233343.339674,0.090990,3233343.497473,3233343.588463
R269:3233343.546055,0.078892,3233343.588471,3233343.667363
R270:3233343.599245,0.086444,3233343.667371,3233343.753815
R271:3233343.690108,0.013381,3233343.753823,3233343.767204
R272:3233343.767454,0.002793,3233343.767474,3233343.770267
R273:3233343.853982,0.060844,3233343.854057,3233343.914900
R274:3233343.974692,0.060309,3233343.974792,3233344.035101
R275:3233344.153440,0.056081,3233344.153514,3233344.209595
R276:3233344.165396,0.004143,3233344.209610,3233344.213753
R277:3233344.236806,0.040465,3233344.236870,3233344.277335
R278:3233344.405201,0.050142,3233344.405277,3233344.455419
R279:3233344.506723,0.044405,3233344.506797,3233344.551202
R280:3233344.522274,0.043514,3233344.551219,3233344.594733
R281:3233344.550652,0.105368,3233344.594740,3233344.700108
R282:3233344.552416,0.139697,3233344.700115,3233344.839812
R283:3233344.637686,0.049328,3233344.839819,3233344.889147
R284:3233344.725082,0.444320,3233344.889153,3233345.333473
R285:3233344.789973,0.006430,3233345.333480,3233345.339910
R286:3233344.796029,0.075793,3233345.339914,3233345.415707
R287:3233344.898410,0.020682,3233345.415732,3233345.436414
R288:3233344.923595,0.214219,3233345.436421,3233345.650641
R289:3233345.023089,0.051790,3233345.650648,3233345.702439
R290:3233345.157011,0.158420,3233345.702446,3233345.860865
R291:3233345.214741,0.247849,3233345.860872,3233346.108721
R292:3233345.519791,0.121398,3233346.108728,3233346.230126
R293:3233345.749145,0.064123,3233346.230132,3233346.294255
R294:3233345.789733,0.054102,3233346.294262,3233346.348365
R295:3233345.814475,0.052306,3233346.348370,3233346.400677
R296:3233346.113695,0.284973,3233346.400684,3233346.685657
R297:3233346.329394,0.051047,3233346.685665,3233346.736712
R298:3233346.349706,0.121196,3233346.736720,3233346.857916
R299:3233346.501227,0.024821,3233346.857923,3233346.882744
R300:3233346.736392,0.275881,3233346.882750,3233347.158631
R301:3233346.879784,0.042900,3233347.158638,3233347.201538
R302:3233346.920113,0.067370,3233347.201544,3233347.268914
R303:3233347.002396,0.017666,3233347.268920,3233347.286586
R304:3233347.099732,0.037204,3233347.286591,3233347.323796
R305:3233347.164739,0.206932,3233347.323803,3233347.530734
R306:3233347.270843,0.077732,3233347.530742,3233347.608474
R307:3233347.294509,0.009690,3233347.608480,3233347.618170
R308:3233347.495084,0.018491,3233347.618174,3233347.636666
R309:3233347.541859,0.074849,3233347.636671,3233347.711520
R310:3233347.645858,0.075599,3233347.711527,3233347.787126
R311:3233347.758738,0.068580,3233347.787132,3233347.855712
R312:3233347.764810,0.023158,3233347.855721,3233347.878879
R313:3233347.847737,0.035113,3233347.878885,3233347.913998
R314:3233347.849651,0.214415,3233347.914003,3233348.128418
R315:3233347.850566,0.122722,3233348.128424,3233348.251146
